frame,num_atoms,num_adsorbates,count_As,count_Al,count_Re,count_Co,count_H,count_Si,count_Pt,count_Ti,count_S,count_Te,count_Ca,count_K,count_Se,count_V,count_Zr,count_Ge,count_Mn,count_Bi,count_Sn,count_Ga,count_N,count_Au,count_Hf,count_C,count_O,count_Fe,count_Cs,count_Cl,count_Tc,count_Sc,count_Ni,count_Ta,count_In,count_Ir,count_Rh,count_Os,count_Mo,count_Nb,count_Cr,count_Ag,count_Rb,count_Y,count_Sb,count_Sr,count_Pb,count_Cu,count_Pd,count_Tl,count_Na,count_P,count_Hg,count_Cd,count_Zn,count_Ru,count_W,count_B
0,3108,229,276.0,152.0,144.0,140.0,138,134.0,127.0,126.0,117.0,114.0,100.0,100.0,96.0,84.0,83.0,80.0,75.0,72.0,72.0,64.0,61,48.0,47.0,46,45,42.0,40.0,40.0,40.0,40.0,36.0,33.0,32.0,28.0,24.0,24.0,24.0,20.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2704,169,56.0,109.0,0.0,0.0,82,128.0,0.0,43.0,112.0,140.0,50.0,8.0,110.0,66.0,80.0,170.0,24.0,0.0,24.0,128.0,119,36.0,40.0,45,42,0.0,0.0,80.0,20.0,83.0,116.0,108.0,123.0,36.0,36.0,24.0,70.0,36.0,0.0,56.0,0.0,18.0,0.0,0.0,46.0,24.0,16.0,56.0,64.0,48.0,32.0,0.0,0.0,0.0,0.0,0.0
2,2809,267,72.0,42.0,36.0,60.0,164,16.0,72.0,112.0,196.0,176.0,36.0,56.0,48.0,48.0,0.0,128.0,88.0,12.0,6.0,98.0,24,68.0,24.0,54,49,42.0,0.0,112.0,0.0,44.0,0.0,36.0,20.0,32.0,94.0,12.0,16.0,0.0,0.0,108.0,140.0,8.0,116.0,0.0,48.0,32.0,60.0,116.0,36.0,0.0,20.0,16.0,16.0,0.0,0.0,0.0
3,2639,208,24.0,56.0,0.0,0.0,103,28.0,0.0,140.0,184.0,48.0,76.0,120.0,84.0,12.0,128.0,0.0,0.0,32.0,60.0,168.0,87,8.0,0.0,57,48,16.0,0.0,0.0,24.0,8.0,102.0,18.0,28.0,32.0,72.0,36.0,12.0,106.0,18.0,16.0,0.0,76.0,0.0,12.0,50.0,60.0,88.0,76.0,30.0,96.0,64.0,80.0,32.0,24.0,0.0,0.0
4,2954,263,96.0,120.0,0.0,24.0,109,117.0,92.0,0.0,238.0,72.0,94.0,0.0,116.0,36.0,42.0,0.0,91.0,0.0,24.0,80.0,72,72.0,64.0,113,41,52.0,0.0,48.0,20.0,44.0,39.0,36.0,0.0,24.0,160.0,0.0,78.0,0.0,16.0,36.0,32.0,48.0,32.0,88.0,20.0,0.0,102.0,144.0,64.0,96.0,46.0,16.0,0.0,0.0,0.0,0.0
5,3024,359,0.0,185.0,0.0,52.0,260,130.0,48.0,48.0,78.0,40.0,84.0,104.0,104.0,8.0,148.0,56.0,4.0,48.0,0.0,48.0,48,212.0,92.0,48,51,48.0,24.0,92.0,80.0,0.0,36.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,24.0,50.0,72.0,0.0,95.0,68.0,0.0,72.0,192.0,52.0,0.0,96.0,0.0,45.0,0.0
6,3057,287,64.0,80.0,0.0,48.0,109,120.0,16.0,18.0,222.0,72.0,60.0,0.0,92.0,184.0,69.0,96.0,134.0,36.0,129.0,100.0,102,32.0,16.0,128,50,0.0,20.0,36.0,0.0,0.0,30.0,56.0,56.0,12.0,79.0,0.0,72.0,54.0,78.0,20.0,8.0,82.0,24.0,24.0,8.0,64.0,68.0,36.0,0.0,178.0,0.0,0.0,75.0,0.0,0.0,0.0
7,3224,205,84.0,192.0,16.0,68.0,114,64.0,0.0,90.0,380.0,0.0,56.0,48.0,192.0,0.0,48.0,78.0,84.0,32.0,82.0,0.0,63,48.0,36.0,59,32,0.0,24.0,88.0,32.0,86.0,152.0,64.0,72.0,0.0,54.0,0.0,108.0,0.0,0.0,56.0,0.0,34.0,24.0,0.0,48.0,36.0,16.0,0.0,64.0,236.0,0.0,0.0,60.0,68.0,36.0,0.0
8,3110,284,40.0,104.0,0.0,24.0,190,32.0,72.0,152.0,96.0,28.0,44.0,124.0,176.0,72.0,78.0,40.0,16.0,12.0,120.0,176.0,66,16.0,32.0,46,48,0.0,0.0,0.0,0.0,0.0,180.0,0.0,32.0,16.0,32.0,0.0,46.0,72.0,32.0,52.0,28.0,24.0,180.0,16.0,56.0,60.0,56.0,48.0,144.0,0.0,0.0,80.0,80.0,72.0,0.0,0.0
9,2792,202,32.0,164.0,18.0,0.0,99,152.0,16.0,148.0,220.0,72.0,136.0,0.0,126.0,0.0,54.0,68.0,24.0,0.0,48.0,86.0,88,26.0,118.0,55,48,0.0,22.0,32.0,36.0,0.0,0.0,32.0,22.0,36.0,48.0,0.0,56.0,18.0,84.0,130.0,0.0,16.0,66.0,0.0,0.0,118.0,36.0,0.0,72.0,46.0,0.0,20.0,32.0,60.0,12.0,0.0
